Time (Month),Temperature - C,Solar (Rooftop) Market Value - $,Solar (Rooftop) - GWh,Solar (Utility) Market Value - $,Solar (Utility) - GWh,Wind Market Value - $,Wind - GWh,Hydro Market Value - $,Hydro - GWh,Battery (Discharging) Market Value - $,Battery (Discharging) - GWh,Gas (OCGT) Market Value - $,Gas (OCGT) - GWh,Gas (Steam) Market Value - $,Gas (Steam) - GWh,Brown Coal Market Value - $,Brown Coal - GWh,Imports Market Value - $,Imports - GWh,Exports Market Value - $,Exports - GWh,Total (GWh) (minus exports),Solar (Rooftop) Market Value - $/MWh,Solar (Utility) Market Value - $/MWh,Wind Market Value - $/MWh,Hydro Market Value - $/MWh,Battery (Discharging) Market Value - $/MWh,Gas (OCGT) Market Value - $/MWh,Gas (Steam) Market Value - $/MWh,Brown Coal Market Value - $/MWh,Imports Market Value - $/MWh,Exports Market Value - $/MWh,Volume Weighted Price (Historic) - $/MWh,Imports % from wholesale price
2005-04-01,,0,0,0,0,0,0,11848263.3,304.5,0,0,587274.62,13.34,5522659.19,140.81,112404402.7,3672.66,-6227855.6,162.65,1845413.09,-97.08,4293.96,,0,0,38.91055271,0,44.02358471,39.22064619,30.60571975,38.28992069,-19.00919953,31.80990401,20%
2005-05-01,,0,0,0,0,0,0,8161908.91,260.01,0,0,191819.4,5.44,1525144.6,42.71,106524927.1,4318.42,-3876983.75,121.95,3603795.54,-199.72,4748.53,,0,0,31.39075001,0,35.26091912,35.7093093,24.66756987,31.79158467,-18.04423964,25.33010926,26%
2005-06-01,,0,0,0,0,0,0,6597447.23,200.71,0,0,266256.26,5.31,1021663.47,27.22,103918421.7,4400.22,-2618898.54,85.08,4487434.59,-255.37,4718.54,,0,0,32.87054571,0,50.14242185,37.53355878,23.61664227,30.78160014,-17.57228566,24.24959567,27%
2005-07-01,,0,0,0,0,0,0,7421383.61,182.63,0,0,537717.05,9.47,1554213.68,39.82,114851913.8,4306.61,-7221472.29,220.25,2128354.71,-119.41,4758.78,,0,0,40.63616936,0,56.78110348,39.03098142,26.66875194,32.78761539,-17.82392354,27.65135191,19%
2005-08-01,,0,0,0,0,0,0,10855283.83,207.39,0,0,1840504.25,18.64,1626224.5,26.81,129211409.6,4284.03,-9089474.75,229.3,2296907.27,-139.01,4766.17,,0,0,52.34236863,0,98.73949839,60.6573853,30.16118225,39.64009922,-16.52332401,32.02212613,24%
2005-09-01,,0,0,0,0,0,0,11037028.41,274.49,0,0,1521075.61,14.53,2298829.83,41.11,116281206.1,4018.51,-5965803.09,148.98,3126564.95,-166.94,4497.62,,0,0,40.20921859,0,104.6851762,55.91899368,28.93639835,40.04432199,-18.72867467,30.48366538,31%
2005-10-01,,0,0,0,0,0,0,6376798.55,225.2,0,0,165721.38,4.38,630459.07,18.97,93236749.51,4109.4,-2857817.76,94.95,3584035.31,-223.25,4452.9,,0,0,28.31615697,0,37.83593151,33.23453189,22.68865273,30.09813333,-16.05390956,23.19107689,30%
2005-11-01,,0,0,0,0,0,0,15171296.77,201.88,0,0,3812670.39,12.98,59965.03,1.72,121777884.8,3922.75,-7087868.49,120.59,3758744.73,-234.91,4259.92,,0,0,75.15007316,0,293.7342365,34.86338953,31.04400861,58.77658587,-16.00078639,34.72123548,69%
2005-12-01,,0,0,0,0,0,0,24906546.13,281.7,0,0,2758593.72,6.39,5858122.07,34.71,153936195.5,4484.7,-1183435.63,34.42,10151199.84,-523.55,4841.92,,0,0,88.41514423,0,431.7048075,168.7733238,34.32474759,34.38220889,-19.38916978,38.96034901,-12%
2006-01-01,,0,0,0,0,0,0,21922038.25,255.55,0,0,11165042.03,26.87,10599634.07,51.24,227938179.6,4367,-26038295.94,121.11,5888499.52,-381.91,4821.77,0,0,0,85.78375367,0,415.5207306,206.8624916,52.19559871,214.9970765,-15.41855285,61.73317886,248%
2006-02-01,,0,0,0,0,0,0,24446578.7,271.43,0,0,6850127.97,9.89,5892152.64,18.91,229322845.8,4025.75,-17766011.05,92.18,5476813.62,-349.99,4418.16,0,0,0,90.06586855,0,692.6317462,311.5892459,56.96400566,192.7317319,-15.64848601,64.3430107,200%
2006-03-01,,0,0,0,0,0,0,5449379.59,168.11,0,0,247162.67,5.2,1180187.15,31.75,105373808,4494.74,-2943080.69,80.23,6204723.53,-363.72,4780.03,0,0,0,32.4155588,0,47.53128269,37.17124882,23.44380498,36.68304487,-17.05906612,24.09893203,52%
2006-04-01,,0,0,0,0,0,0,3215250.14,105.92,0,0,189557.68,4.8,910280.07,26.83,93570703.1,4114.23,-2011134.45,69.76,3984306.26,-248.1,4321.54,0,0,0,30.35545827,0,39.49118333,33.92769549,22.74318721,28.82933558,-16.05927553,23.11604785,25%
2006-05-01,,0,0,0,0,0,0,10495129.68,182.62,0,0,1679149.99,11.5,3223996.52,56.57,125987604.4,4453.1,-5777260.57,149.68,3299897.76,-196.89,4853.47,0,0,0,57.46977155,0,146.0130426,56.99127665,28.29211209,38.59741161,-16.76010849,30.32122196,27%
2006-06-01,,0,0,0,0,0,0,14787566.61,321.31,0,0,1339884.49,19.96,4091824.89,89.03,149170856.5,4296.73,-9622406.9,226.22,2338311.67,-117.2,4953.25,0,0,0,46.02274006,0,67.12848146,45.9600684,34.71729815,42.53561533,-19.95146476,36.14042081,18%
2006-07-01,,0,0,0,0,0,0,29455575.46,312.23,0,0,4242233.25,21.68,5317804.14,34.33,207916288.7,4460.97,-17457651.17,244.96,3508037.07,-174.97,5074.17,0,0,0,94.33935067,0,195.6749654,154.9025383,46.60786526,71.26735455,-20.04936315,52.10498519,37%
2006-08-01,,0,0,0,0,0,0,12612251.14,313.22,0,0,540731.73,8.57,4137730.08,99.73,139048408,4327.02,-7305907.27,173.43,3599762.63,-168.82,4921.97,0,0,0,40.26642979,0,63.09588448,41.48932197,32.13491224,42.12597169,-21.32308157,33.24787193,27%
2006-09-01,,0,0,0,0,0,0,11795085.27,310.27,0,0,940524.25,15.04,1936159.3,38.99,122236350.8,3997.44,-7120569.28,172.44,3532811.9,-180.85,4534.18,0,0,0,38.01555184,0,62.53485705,49.65784304,30.57865804,41.29302528,-19.53448659,31.76510171,30%
2006-10-01,,0,0,0,0,0,0,8834861.41,255.16,0,0,354629.33,6.94,2618921.07,67.32,114016358,4127.77,-4652693.88,118.79,3775968.86,-206.16,4575.98,0,0,0,34.62478997,0,51.09932709,38.90257086,27.62178076,39.16738682,-18.31572012,28.51355636,37%
2006-11-01,,0,0,0,0,0,0,7856891.8,193.15,0,0,2369598.7,35.34,4418090.79,83.37,132897485.6,4127.06,-3999129.3,56.11,7189767.6,-318.22,4495.03,0,0,0,40.67766917,0,67.05146293,52.99377222,32.20149104,71.27302263,-22.59370121,33.71305557,111%
2006-12-01,,0,0,0,0,0,0,2246351.79,75.99,0,0,729247.9,17.49,1889565.46,45.41,102371073.2,4587.79,-1602223.64,32.04,9563367.22,-601.72,4758.72,0,0,0,29.56115002,0,41.69513436,41.61121911,22.31380974,50.00698002,-15.89338433,22.87137339,119%
2007-01-01,,0,0,0,0,0,0,45367465.68,110.54,0,0,49433318.33,170.24,1316259.43,22.71,380986382.2,4331.05,-52732425.05,137.74,8850731.91,-371.17,4772.28,0,0,0,410.4167331,0,290.3742853,57.95946411,87.96628583,382.8403154,-23.84549374,111.0236304,245%
2007-02-01,,0,0.01,0,0,0,0,12862710.67,95.84,0,0,16787527.55,227.19,1905684.89,28.45,197332032.7,4096.12,-19077086.43,154.29,8094288.21,-325.19,4601.9,0,0,0,134.2102532,0,73.89201791,66.98365167,48.1753544,123.6443479,-24.89095055,53.88318786,129%
2007-03-01,,0,0.01,0,0,0,0,18135369.3,161.23,0,0,15397225.77,175.03,2547862.85,65.39,229758623.5,4342.08,-16729634.52,112.71,12801241.23,-403.84,4856.45,0,0,0,112.4813577,0,87.96906685,38.96410537,52.9144151,148.4307916,-31.69879465,58.18421191,155%
2007-04-01,,0,0.01,0,0,0,0,18043849.44,205.24,0,0,15596448.95,195.29,21881934.06,307.17,261204956.8,3871.07,-2446270.96,23.58,25575509.5,-460.58,4602.36,0,0,0,87.91585188,0,79.86301884,71.23721086,67.47616469,103.7434673,-55.52891897,69.34995529,50%
2007-05-01,,0,0.01,0,0,0,0,12014301.02,143.49,0,0,14706293.56,192.66,18692847,277.12,244148354,3906.93,-8746245.13,109.45,8880236.39,-199.65,4629.66,0,0,0,83.72918684,0,76.33288467,67.45398023,62.49110017,79.91087373,-44.47902024,64.4341141,24%
2007-06-01,,0,0.01,0,0,0,0,74498331,277.6,0,0,56370236.51,235.24,39291098.65,224.7,606183851.6,4127.32,-17194476.77,101.13,18142864.7,-197.78,4966,0,0,0,268.3657457,0,239.6286198,174.8602521,146.8710571,170.0235021,-91.73255486,159.7941995,6%
2007-07-01,,0,0.02,0,0,0,0,25717285.63,170.99,0,0,17171204.91,154.46,12454653.81,126.49,380602584.5,4431.96,-23660044.87,191.24,7298018.99,-158.81,5075.16,0,0,0,150.4022787,0,111.1692665,98.46354502,85.87680946,123.7191219,-45.95440457,90.55985893,37%
2007-08-01,,0,0.03,0,0,0,0,5278192.26,94.54,0,0,3089384.11,53.78,6415051.31,128.97,193496821.1,4506.63,-4910018.43,91.3,7181662.8,-220.25,4875.25,0,0,0,55.8302545,0,57.44485143,49.74064751,42.93603449,53.77895323,-32.60686856,43.72893025,23%
2007-09-01,,0,0.06,0,0,0,0,8822066.58,140.65,0,0,2088198.2,38.04,8580873.11,162.55,193943283.5,4245.41,-2672401.7,37.93,10282356.09,-296.22,4624.64,0,0,0,62.72354483,0,54.89480021,52.78913018,45.68305147,70.45614817,-34.71189012,46.72943691,51%
