Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2014-01-01,1.7375946256589117,31.244003295898438,2.0711694096472435,2422176.0
2014-02-01,1.5766685138821543,31.244003295898438,1.916378645253243,2425272.0
2014-03-01,1.6317872744163981,31.244003295898438,2.0204719923426255,2428368.0
2014-04-01,1.5329570990974986,31.244003295898438,1.894612312384829,2431464.0
2014-05-01,1.6631095557308098,31.244003295898438,1.9946331585508186,2434560.0
2014-06-01,1.6669784415848667,31.244003295898438,1.9547932902433591,2437656.0
2014-07-01,1.7566020636262922,31.244003295898438,2.060070326805332,2440752.0
2014-08-01,1.6658769285160124,31.244003295898438,2.0298614598391045,2443848.0
2014-09-01,1.4920039036447095,31.244003295898438,1.7663589894500988,2446944.0
2014-10-01,1.5036978988098153,31.244003295898438,1.7987132135555144,2450040.0
2014-11-01,1.4298188115130999,31.244003295898438,1.7403887688482027,2453136.0
2014-12-01,1.4680412925163422,31.244003295898438,1.7892145690130548,2456232.0
2015-01-01,1.5208570439919378,17.53499984741211,1.8393969202590843,2459337.0
2015-02-01,1.464042010312523,17.53499984741211,1.7490823361670702,2462443.0
2015-03-01,1.4802585549912008,17.53499984741211,1.769638980858511,2465549.0
2015-04-01,1.4535040335729374,17.53499984741211,1.7321696040761927,2468655.0
2015-05-01,1.5686144412829557,17.53499984741211,1.8654872829319438,2471761.0
2015-06-01,1.62600252862073,17.53499984741211,1.9610435956700758,2474867.0
2015-07-01,1.724611204399725,17.53499984741211,2.0669034516398814,2477973.0
2015-08-01,1.650705197214599,17.53499984741211,1.9411608606194128,2481079.0
2015-09-01,1.490557265260035,17.53499984741211,1.7335893526655926,2484185.0
2015-10-01,1.4599055759860828,17.53499984741211,1.7142697440349017,2487291.0
2015-11-01,1.3965002367092476,17.53499984741211,1.6542859145606477,2490397.0
2015-12-01,1.5394206463758013,17.53499984741211,1.7847478899846376,2493503.0
2016-01-01,1.4936527957298915,27.45599937438965,1.752267353994919,2496611.0
2016-02-01,1.4474660632941116,27.45599937438965,1.7118668365234635,2499727.0
2016-03-01,1.5426656805880352,27.45599937438965,1.814581113697511,2502843.0
2016-04-01,1.3974410594905982,27.45599937438965,1.7021277470371106,2505959.0
2016-05-01,1.4820083098352979,27.45599937438965,1.6947344077412676,2509075.0
2016-06-01,1.5967774743242054,27.45599937438965,1.8076986641459545,2512191.0
2016-07-01,1.622135985786228,27.45599937438965,1.7877431213290431,2515307.0
2016-08-01,1.6147128580067764,27.45599937438965,1.8360482060069567,2518423.0
2016-09-01,1.4593071929484336,27.45599937438965,1.6454660888452226,2521539.0
2016-10-01,1.4124385312052539,27.45599937438965,1.5404984107019142,2524655.0
2016-11-01,1.3676990518524028,27.45599937438965,1.57260120772189,2527771.0
2016-12-01,1.3269774588908947,27.45599937438965,1.550941955080535,2530887.0
2017-01-01,1.3801798971824422,25.5,1.661270289924827,2534003.0
2017-02-01,1.2649021788013144,25.5,1.4935050470629025,2537129.0
2017-03-01,1.4316161172795645,25.5,1.698464899355421,2540255.0
2017-04-01,1.270655084708111,25.5,1.5096111322704018,2543381.0
2017-05-01,1.4662869569963877,25.5,1.6195080279276552,2546507.0
2017-06-01,1.5464774734246065,25.5,1.768502769230493,2549633.0
2017-07-01,1.5760594713406162,25.5,1.5403629994562293,2552759.0
2017-08-01,1.571353953718575,25.5,1.6516514602630312,2555885.0
2017-09-01,1.4010608004420457,25.5,1.4258122552346004,2559011.0
2017-10-01,1.344408983594554,25.5,1.3789896427838235,2562137.0
2017-11-01,1.3977514196400136,25.5,1.4012161982087046,2565263.0
2017-12-01,1.367000870973984,25.5,1.4294864174423059,2568389.0
